 Dato | Hecho o pieza de información, a menudo numérica. | Data Basics 
 Datos | Colección de hechos o información. | Data Basics 
 Datos estructurados | Datos organizados en un formato predefinido, como una tabla. | Data Basics 
 Datos no estructurados | Datos que no tienen un formato predefinido, como texto, imágenes o audio. | Data Basics 
 Datos cuantitativos | Datos numéricos que pueden contarse o medirse. | Data Basics 
 Datos cualitativos | Datos descriptivos que se pueden agrupar en categorías. | Data Basics 
 Contexto de datos | Información que proporciona significado a los datos, como el período de tiempo, la ubicación y el origen. | Data Basics 
 Metadatos | Datos que describen otros datos. | Data Basics 
 Variable | Una característica o atributo que puede tomar diferentes valores. | Data Basics 
 Valor | Una observación específica de una variable. | Data Basics 
 Observación | Un conjunto de valores para diferentes variables que describen una entidad. | Data Basics 
 Conjunto de datos | Una colección de observaciones. | Data Basics 
 Análisis de datos | Proceso de inspeccionar, limpiar, transformar y modelar datos para descubrir información útil. | Data Basics 
 Información útil | Conocimiento extraído del análisis de datos que permite la toma de decisiones. | Data Basics 
 Tendencias | Patrones o direcciones en los datos a lo largo del tiempo. | Data Basics 
 Patrones | Relaciones recurrentes o regulares en los datos. | Data Basics 
 Anomalías | Valores o puntos de datos que se desvían significativamente del patrón general en los datos. | Data Basics 
 Visualización de datos | Representación gráfica de datos para facilitar la comprensión y el análisis. | Data Basics 
 Comunicación de datos | El proceso de compartir ideas basadas en datos de manera efectiva. | Data Basics 
 Toma de decisiones basada en datos | Proceso de utilizar datos para tomar mejores decisiones. | Data Basics 
 DIKW | Jerarquía que describe la transformación de datos en sabiduría. | Data Wisdom 
 Datos (en DIKW) | Hechos y cifras sin procesar. | Data Wisdom 
 Información (en DIKW) | Datos contextualizados y organizados. | Data Wisdom 
 Conocimiento (en DIKW) | Información comprendida y aplicada. | Data Wisdom 
 Sabiduría (en DIKW) | La capacidad de usar el conocimiento para tomar decisiones y juicios informados. | Data Wisdom 
 Modelo mental | Representación interna de un concepto o sistema que utilizamos para entender el mundo. | Data Wisdom 
 Toma de decisiones | Proceso de seleccionar una opción entre varias alternativas. | Data Wisdom 
 Toma de decisiones basada en datos | Proceso de utilizar datos para tomar decisiones más informadas y objetivas. | Data Wisdom 
 Intuición | Conocimiento o comprensión sin razonamiento consciente. | Data Wisdom 
 Sesgo cognitivo | Error sistemático en el pensamiento que afecta las decisiones y juicios. | Data Wisdom 
 Pensamiento crítico | Evaluación objetiva de la información para formar un juicio. | Data Wisdom 
 Inferencia | Conclusión a la que se llega basándose en la evidencia y el razonamiento. | Data Wisdom 
 Predicción | Una declaración sobre lo que podría suceder en el futuro. | Data Wisdom 
 Perspectiva | Punto de vista o manera particular de considerar algo. | Data Wisdom 
 Heurística | Reglas simples y eficientes que las personas usan para formar juicios y tomar decisiones. | Data Wisdom 
 Análisis costo–beneficio | Evaluación de los pros y los contras de diferentes opciones. | Data Wisdom 
 Riesgo | La posibilidad de que ocurra algo malo o inesperado. | Data Wisdom 
 Incertidumbre | La falta de conocimiento o información precisa sobre algo. | Data Wisdom 
 Compensaciones | Decisiones que implican elegir entre dos o más opciones, cada una con sus propios beneficios y desventajas. | Data Wisdom 
 Experimentación | Método para probar hipótesis y aprender de los resultados. | Data Wisdom 
 Ética de datos | Principios morales que guían la recopilación, el uso y el almacenamiento de datos. | Data Ethics and the Data Life Cycle 
 Privacidad de datos | Derecho de un individuo a controlar cómo se recopila, utiliza y comparte su información personal. | Data Ethics and the Data Life Cycle 
 Seguridad de datos | Protección de los datos contra el acceso no autorizado, el uso o la divulgación. | Data Ethics and the Data Life Cycle 
 Gobernanza de datos | Conjunto de procesos y políticas que aseguran la calidad, la seguridad y la gestión adecuada de los datos. | Data Ethics and the Data Life Cycle 
 Ciclo de vida de los datos | Las etapas por las que pasan los datos desde su creación hasta su archivo o eliminación. | Data Ethics and the Data Life Cycle 
 Planificación y recopilación | Identificar las necesidades de datos, las fuentes y los métodos de recopilación. | Data Ethics and the Data Life Cycle 
 Almacenamiento y gestión | Almacenar y organizar los datos de forma segura y accesible. | Data Ethics and the Data Life Cycle 
 Limpieza y procesamiento | Transformar los datos en un formato utilizable, corregir errores y gestionar valores faltantes. | Data Ethics and the Data Life Cycle 
 Análisis y visualización | Examinar los datos para extraer información y presentarla de forma clara. | Data Ethics and the Data Life Cycle 
 Compartir | Difundir los resultados del análisis de datos a las partes interesadas. | Data Ethics and the Data Life Cycle 
 Archivado o destrucción | Conservar los datos para uso futuro o eliminarlos de forma segura. | Data Ethics and the Data Life Cycle 
 GDPR (Reglamento General de Protección de Datos) | Ley europea que establece normas para la recopilación y el procesamiento de datos personales de individuos en la UE. | Data Ethics and the Data Life Cycle 
 Consentimiento informado | Permiso explícito del individuo para que se recopilen y utilicen sus datos. | Data Ethics and the Data Life Cycle 
 Anonimización | Proceso de eliminar información de identificación personal de los datos. | Data Ethics and the Data Life Cycle 
 Seguridad de la información | Protección de la información contra el acceso no autorizado, la divulgación, la interrupción, la modificación o la destrucción. | Data Ethics and the Data Life Cycle 
 Data Breach | Incidente de seguridad en el que se accede, divulga, modifica o destruye información confidencial, privada o protegida. | Data Ethics and the Data Life Cycle 
 Encriptación | Proceso de convertir información en un código ilegible para protegerla del acceso no autorizado. | Data Ethics and the Data Life Cycle 
 Integridad de los datos | Principio que garantiza que los datos sean precisos, completos y confiables. | Data Ethics and the Data Life Cycle 
 Responsabilidad | Obligación de ser responsable de las acciones y decisiones relacionadas con los datos. | Data Ethics and the Data Life Cycle 
 Transparencia | Principio que fomenta la apertura y la claridad sobre cómo se recopilan, utilizan y comparten los datos. | Data Ethics and the Data Life Cycle 
